Date,Close
6/25/18,27.299999
7/2/18,21.889999
7/9/18,19.719999
7/16/18,18.68
7/23/18,16.629999
7/30/18,17.030001
8/6/18,17.92
8/13/18,18
8/20/18,20
8/27/18,23.51
9/3/18,19.26
9/10/18,21.98
9/17/18,20.52
9/24/18,21.450001
10/1/18,19.08
10/8/18,18.879999
10/15/18,17.82
10/22/18,16.83
10/29/18,16.530001
11/5/18,17.299999
11/12/18,16.370001
11/19/18,15.12
11/26/18,15.96
12/3/18,20.4
12/10/18,21.969999
12/17/18,16.57
12/24/18,17.91
12/31/18,18.459999
1/7/19,22.719999
1/14/19,26.59
1/21/19,26.33
1/28/19,26.860001
2/4/19,29.610001
2/11/19,31.290001
2/18/19,32.959999
2/25/19,35.419998
3/4/19,31.049999
3/11/19,41.709999
3/18/19,43.419998
3/25/19,40.330002
4/1/19,37.860001
4/8/19,38.310001
4/15/19,34.490002
4/22/19,38.560001
4/29/19,36.759998
5/6/19,36.720001
5/13/19,38.029999
5/20/19,34.959999
5/27/19,33.5
6/3/19,29.82
6/10/19,28.709999
6/17/19,30.780001
6/24/19,27.32
7/1/19,28.370001
7/8/19,30.950001
7/15/19,27.17
7/22/19,30.219999
7/29/19,26.68
8/5/19,25.889999
8/12/19,25.42
8/19/19,24.08
8/26/19,24.83
9/2/19,15.77
9/9/19,16.940001
9/16/19,17.799999
9/23/19,15.87
9/30/19,16.43
10/7/19,16.309999
10/14/19,15.615
10/21/19,16.99
10/28/19,16.48
11/4/19,16.57
11/11/19,16.799999
11/18/19,17.530001
11/25/19,18.799999
12/2/19,23.389999
12/9/19,24.34
12/16/19,21.969999
12/23/19,22.98
12/30/19,21.5
1/6/20,24.190001
1/13/20,24.110001
1/20/20,25.209999
1/27/20,24.219999
2/3/20,24.75
2/10/20,25.059999
2/17/20,26.860001
2/24/20,21.09
3/2/20,17.77
3/9/20,12.71
3/16/20,8.31
3/23/20,10.53
3/30/20,8.54
4/6/20,11.72
4/13/20,14.32
4/20/20,16.389999
4/27/20,17.43
5/4/20,20.82
5/11/20,22.280001
5/18/20,25.01
5/25/20,25.32
6/1/20,32.189999
6/8/20,31.08
6/15/20,30.059999
6/22/20,30.9
6/29/20,35.610001
7/6/20,35.630001
7/13/20,33.5
7/20/20,31.43
7/27/20,32.18
8/3/20,30.99
8/10/20,35.669998
8/17/20,37.400002
8/24/20,39.009998
8/31/20,40.279999
9/7/20,39.52
9/14/20,36.580002
9/21/20,37.57
9/28/20,38.009998
10/5/20,41.299999
10/12/20,38.880001
10/19/20,36.060001
10/26/20,31.77
11/2/20,37
11/9/20,34.299999
11/16/20,35.849998
11/23/20,37.990002
11/30/20,44.889999
12/7/20,46.700001
12/14/20,66.260002
12/21/20,67.260002
12/28/20,63.77
1/4/21,62.110001
1/11/21,70.029999
1/18/21,72.610001
1/25/21,63.389999
2/1/21,74.809998
2/8/21,70.860001
2/15/21,69.120003
2/22/21,63.73
3/1/21,56.490002
3/8/21,62.439999
3/15/21,64.669998
3/22/21,61.610001
3/29/21,57.650002
4/5/21,57.580002
4/12/21,60.630001
4/19/21,64.230003
4/26/21,64.290001
5/3/21,60.450001
5/10/21,58.93
5/17/21,61.849998
5/24/21,66.5
5/31/21,67.150002
6/7/21,71.199997
6/14/21,78.169998
6/21/21,82.550003
6/28/21,80.089996
7/5/21,82.360001
7/12/21,81.559998
7/19/21,89.620003
7/26/21,88.330002
8/2/21,92.839996
8/9/21,89.650002
8/16/21,91.300003
8/23/21,89.529999
8/30/21,84.5
9/6/21,77.650002
9/13/21,79.660004
9/20/21,84.559998
9/27/21,84.959999
10/4/21,80.889999
10/11/21,87.650002
10/18/21,91.870003
10/25/21,88.349998
11/1/21,86.93
11/8/21,88.610001
11/15/21,84.459999
11/22/21,72.809998
11/29/21,48.259998
12/6/21,48.779999
12/13/21,48.959999
12/20/21,50.639999
12/27/21,49.599998
1/3/22,44.41
1/10/22,45.23
1/17/22,40.869999
1/24/22,44.25
1/31/22,46.84
2/7/22,48.869999
2/14/22,42.200001
2/21/22,44.099998
2/28/22,42.950001
3/7/22,42.759998
3/14/22,48.119999
3/21/22,47.349998
3/28/22,52.470001
4/4/22,47.889999
4/11/22,47.91
4/18/22,41.860001
4/25/22,41.419998
5/2/22,36.889999
5/9/22,35.099998
5/16/22,30.99
5/23/22,34.290001
5/30/22,32.919998
6/6/22,27.719999
6/13/22,26.049999
6/20/22,33.240002
6/27/22,28.040001
7/4/22,32.18
7/11/22,30.059999
7/18/22,30.709999
7/25/22,28.01
8/1/22,33.09
8/8/22,33.970001
8/15/22,28.450001
8/22/22,20.690001
8/29/22,18.690001
9/5/22,21.700001
9/12/22,19.49
9/19/22,16.799999
9/26/22,17.99
10/3/22,17.43
10/10/22,14.18
10/17/22,17.959999
10/24/22,18.200001
10/31/22,15.18
11/7/22,16.18
11/14/22,13.59
11/21/22,13.28
11/28/22,15.22
12/5/22,17.559999
12/12/22,16.549999
12/19/22,13.23
12/26/22,14.24
1/2/23,12.46
1/9/23,14.21
1/16/23,12.33
1/23/23,13.25